timestamp,health,osds,active,disk_usage(TiB),scrubbing,mons,runningtime,active_clean,date,time,date_time,rd_bw(KiB/s),wr_bw(KiB/s),rd_ops(op/s),wr_ops(op/s)
20240330-0000,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,9,3,5,664,30-03-2024,00:00:00,30-03-2024 00:00,235,4.5,264,68
20240330-0600,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,6,3,5,667,30-03-2024,06:00:00,30-03-2024 06:00,137,698,155,54
20240330-1200,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,10,3,5,663,30-03-2024,12:00:00,30-03-2024 12:00,385,1.1,443,52
20240330-1800,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,5,669,30-03-2024,18:00:00,30-03-2024 18:00,459,76,508,104
20240331-0000,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,9,3,5,664,31-03-2024,00:00:00,31-03-2024 00:00,575,51,488,236
20240331-0600,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,5,670,31-03-2024,06:00:00,31-03-2024 06:00,411,538,474,37
20240331-1200,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,2,3,5,671,31-03-2024,12:00:00,31-03-2024 12:00,411,583,475,41
20240331-1800,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,2,3,5,671,31-03-2024,18:00:00,31-03-2024 18:00,447,21,501,64
20240401-0000,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,5,668,01-04-2024,00:00:00,01-04-2024 00:00,565,5,549,124
20240401-0600,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,5,668,01-04-2024,06:00:00,01-04-2024 06:00,502,598,578,43
20240401-1200,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,5,669,01-04-2024,12:00:00,01-04-2024 12:00,394,2.1,452,68
20240401-1800,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,5,668,01-04-2024,18:00:00,01-04-2024 18:00,444,16,494,82
20240402-0000,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,5,670,02-04-2024,00:00:00,02-04-2024 00:00,414,5.6,475,216
20240402-0600,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,5,668,02-04-2024,06:00:00,02-04-2024 06:00,388,565,440,36
20240402-1200,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,6,3,5,667,02-04-2024,12:00:00,02-04-2024 12:00,380,1.5,438,54
20240402-1800,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,2,3,5,671,02-04-2024,18:00:00,02-04-2024 18:00,292,18,314,51
20240403-0000,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,5,668,03-04-2024,00:00:00,03-04-2024 00:00,311,466,357,31
20240403-0600,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,5,668,03-04-2024,06:00:00,03-04-2024 06:00,275,679,312,47
20240403-1200,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,5,669,03-04-2024,12:00:00,03-04-2024 12:00,62,850,67,39
20240403-1800,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,5,670,03-04-2024,18:00:00,03-04-2024 18:00,17,1.6,22,61
20240404-0000,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,7,3,5,666,04-04-2024,00:00:00,04-04-2024 00:00,24,6.1,26,57
20240404-0600,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,5,670,04-04-2024,06:00:00,04-04-2024 06:00,6.4,72,8,69
20240404-1200,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,1,3,5,672,04-04-2024,12:00:00,04-04-2024 12:00,10,68,3,72
20240404-1800,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),127,6,3,5,667,04-04-2024,18:00:00,04-04-2024 18:00,14,723,5,50
20240405-0000,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),127,1,3,5,672,05-04-2024,00:00:00,05-04-2024 00:00,139,1.2,13,86
20240405-0600,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,4,3,5,669,05-04-2024,06:00:00,05-04-2024 06:00,679,63,47,91
20240405-1200,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,7,3,6,666,05-04-2024,12:00:00,05-04-2024 12:00,44,1.3,10,82
20240405-1800,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,2,3,6,671,05-04-2024,18:00:00,05-04-2024 18:00,2.7,2,4,66
20240406-0000,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,5,3,6,668,06-04-2024,00:00:00,06-04-2024 00:00,636,64,48,301
20240406-0600,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,5,3,6,668,06-04-2024,06:00:00,06-04-2024 06:00,6.7,522,5,43
20240406-1200,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,1,3,6,672,06-04-2024,12:00:00,06-04-2024 12:00,2.7,471,4,37
20240406-1800,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,1,3,6,672,06-04-2024,18:00:00,06-04-2024 18:00,5.1,61,4,72
20240407-0000,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,3,3,6,670,07-04-2024,00:00:00,07-04-2024 00:00,15,2.8,8,126
20240407-0600,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,4,3,6,669,07-04-2024,06:00:00,07-04-2024 06:00,1.7,874,3,93
20240407-1200,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,3,3,6,670,07-04-2024,12:00:00,07-04-2024 12:00,12,1.2,6,44
20240407-1800,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,4,3,6,669,07-04-2024,18:00:00,07-04-2024 18:00,3.3,711,4,29
20240408-0000,HEALTH_WARN,"112 osds: 112 up (since 5w), 112 in (since 3M)",2 portals active (2 hosts),128,4,3,6,669,08-04-2024,00:00:00,08-04-2024 00:00,4,1.6,5,87
